SEGGER J-Link V9.18 - Real time terminal output
SEGGER J-Link ARM Pro V12.0, SN=601012478
Process: JLinkGDBServerCL.exe
W (22194) cellular: ec800m process status=10
W (22199) cellular: ec800m process status=10
W (22204) cellular: ec800m process status=10
W (22209) cellular: ec800m process status=10
W (22214) cellular: ec800m process status=10
W (22219) cellular: ec800m process status=10
W (22224) cellular: ec800m process status=10
W (22229) cellular: ec800m process status=10
W (22234) cellular: ec800m process status=10
W (22239) cellular: ec800m process status=10
W (22244) cellular: ec800m process status=10
W (22249) cellular: ec800m process status=10
W (22254) cellular: ec800m process status=10
W (22259) cellular: ec800m process status=10
W (22264) cellular: ec800m process status=10
W (22269) cellular: ec800m process status=10
W (22274) cellular: ec800m process status=10
W (22279) cellular: ec800m process status=10
W (22284) cellular: ec800m process status=10
W (22289) cellular: ec800m process status=10
W (22294) cellular: ec800m process status=10
W (22299) cellular: ec800m process status=10
W (22304) cellular: ec800m process status=10
W (22309) cellular: ec800m process status=10
W (22314) cellular: ec800m process status=10
W (22319) cellular: ec800m process status=10
W (22324) cellular: ec800m process status=10
W (22329) cellular: ec800m process status=10
W (22334) cellular: ec800m process status=10
W (22339) cellular: ec800m process status=10
W (22344) cellular: ec800m process status=10
W (22349) cellular: ec800m process status=10
W (22354) cellular: ec800m process status=10
W (22359) cellular: ec800m process status=10
W (22364) cellular: ec800m process status=10
W (22369) cellular: ec800m process status=10
W (22374) cellular: ec800m process status=10
W (22379) cellular: ec800m process status=10
W (22384) cellular: ec800m process status=10
W (22389) cellular: ec800m process status=10
W (22394) cellular: ec800m process status=10
W (22399) cellular: ec800m process status=10
W (22404) cellular: ec800m process status=10
W (22409) cellular: ec800m process status=10
W (22414) cellular: ec800m process status=10
W (22419) cellular: ec800m process status=10
W (22424) cellular: ec800m process status=10
W (22429) cellular: ec800m process status=10
W (22434) cellular: ec800m process status=10
W (22439) cellular: ec800m process status=10
W (22444) cellular: ec800m process status=10
W (22449) cellular: ec800m process status=10
W (22454) cellular: ec800m process status=10
W (22459) cellular: ec800m process status=10
W (22464) cellular: ec800m process status=10
W (22469) cellular: ec800m process status=10
W (22474) cellular: ec800m process status=10
